rv,jumps,dts,vix,rets,c,vixann
2.9935e-05,1.72743810310986e-05,['15/06/1990'],8.360119047619049e-05,2.7555420841974702e-05,1.26610698115911e-05,15.9
4.9454e-05,0.0,['18/06/1990'],0.00010371828703703704,-0.01675527881985728,4.94539058828491e-05,17.71
5.0576e-05,0.0,['19/06/1990'],7.67040013227513e-05,0.004445383709762939,5.05759440559986e-05,15.23
4.7036e-05,0.0,['20/06/1990'],7.710744047619048e-05,0.001755926702264791,4.70364878426604e-05,15.27
3.0141e-05,0.0,['21/06/1990'],7.165291005291006e-05,0.0038078342770566107,3.01413505680797e-05,14.72
0.00025988,0.000182854142715854,['22/06/1990'],0.00012394497354497355,-0.01408041142080994,7.70238150603308e-05,19.36
4.5256e-05,0.0,['25/06/1990'],9.62445767195767e-05,-0.008816854244701985,4.52564609142698e-05,17.06
0.00010091,5.75909353208895e-05,['26/06/1990'],8.775267857142856e-05,-0.0007098542257557045,4.33214809860712e-05,16.29
5.0336e-05,0.0,['27/06/1990'],8.465608465608466e-05,0.008710462312862436,5.03363296043564e-05,16.0
2.0303e-05,0.0,['28/06/1990'],8.657156084656085e-05,0.006986854467331359,2.03029022636254e-05,16.18
1.7006e-05,0.0,['29/06/1990'],7.944775132275133e-05,0.0010899183640256005,1.70060824792901e-05,15.5
1.6138e-05,0.0,['2/07/1990'],8.742976190476193e-05,0.004236585856224584,1.61383632023752e-05,16.26
5.657e-06,0.0,['3/07/1990'],8.582410714285714e-05,0.0017229405401520226,5.65696919231082e-06,16.11
0.00011734,0.0,['5/07/1990'],9.84002976190476e-05,-0.012516926942535755,0.000117337866088191,17.25
2.3635e-05,0.0,['6/07/1990'],8.905029761904762e-05,0.00767403289935619,2.36352872204803e-05,16.41
2.5619e-05,0.0,['9/07/1990'],9.178425925925926e-05,0.0030643253217762273,2.56194584614089e-05,16.66
4.5536e-05,3.04426680849746e-05,['10/07/1990'],9.467142857142859e-05,-0.008463619466974284,1.50937985106095e-05,16.92
4.1725e-05,0.0,['11/07/1990'],9.20047619047619e-05,0.013208685602192603,4.17249030387084e-05,16.68
5.2253e-05,0.0,['12/07/1990'],9.62445767195767e-05,0.011587232455353202,5.22531610447992e-05,17.06
4.7579e-05,0.0,['13/07/1990'],9.65833664021164e-05,0.005104071128479955,4.75790951172925e-05,17.09
1.753e-05,0.0,['16/07/1990'],9.277860449735451e-05,0.004454955348304815,1.75295914968002e-05,16.75
7.7621e-05,0.0,['17/07/1990'],9.178425925925926e-05,-0.003883394563587572,7.76211418923211e-05,16.66
7.3607e-05,0.0,['18/07/1990'],0.00011812499999999996,-0.009019658273114297,7.36071678841627e-05,18.9
3.2611e-05,0.0,['19/07/1990'],0.0001139132275132275,0.003015601155804466,3.26108047256106e-05,18.56
8.8859e-05,0.0,['20/07/1990'],8.078601190476191e-05,-0.010207398820588817,8.88587594864625e-05,15.63
0.00017384,0.0,['23/07/1990'],0.00018543068783068785,-0.01757563514259378,0.000173842296655467,23.68
6.3449e-05,0.0,['24/07/1990'],0.00015701193783068781,0.0013500212991205752,6.3449364149319e-05,21.79
1.7705e-05,0.0,['25/07/1990'],0.00013480029761904768,0.003647181688481888,1.77046172053623e-05,20.19
6.8285e-05,4.21716737691228e-05,['26/07/1990'],0.0001357366402116402,-0.0033099609462108608,2.6113407713267e-05,20.26
5.4463e-05,0.0,['27/07/1990'],0.0001475047619047619,-0.006964150229880113,5.44631400357581e-05,21.12
7.8435e-05,0.0,['30/07/1990'],0.0001480640211640212,0.005952146657720013,7.84353551807351e-05,21.16
2.5264e-05,0.0,['31/07/1990'],0.0001473651124338624,0.001686104094835877,2.5264147080974e-05,21.11
3.7151e-05,0.0,['1/08/1990'],0.00015485767195767198,-0.001770483973097631,3.71506817770229e-05,21.64
9.7598e-05,6.13627049256569e-05,['2/08/1990'],0.00013802410714285716,-0.011428695823622631,3.6235733907552e-05,20.43
0.00067734,0.0,['3/08/1990'],0.0002731440476190476,-0.01901427305565688,0.000677344019068752,28.74
0.00064334,0.000493896298313536,['6/08/1990'],0.00042643124999999993,-0.030710947466741998,0.000149448380838787,35.91
0.0001406,0.0,['7/08/1990'],0.00035468336640211644,0.0011953502304895378,0.000140595537038641,32.75
4.7911e-05,0.0,['8/08/1990'],0.0002642833664021164,0.010457922342501385,4.79107708932712e-05,28.27
3.8878e-05,0.0,['9/08/1990'],0.0001967169642857143,0.004688268770970748,3.88780295919261e-05,24.39
4.9096e-05,0.0,['10/08/1990'],0.00021926669973544976,-0.013087564295595636,4.90960704210072e-05,25.75
0.00011211,0.0,['13/08/1990'],0.0002190964285714285,0.009846452409740384,0.000112105714090478,25.74
4.7683e-05,0.0,['14/08/1990'],0.00019334404761904762,0.0016218690431350033,4.76831767812397e-05,24.18
4.8501e-05,0.0,['15/08/1990'],0.00017968124999999995,0.001972184022854636,4.85007918059558e-05,23.31
0.00013881,8.68754939076687e-05,['16/08/1990'],0.00024393703703703707,-0.022813094336446783,5.19326102511138e-05,27.16
0.00026778,0.000223415400867975,['17/08/1990'],0.0002506286044973545,-0.013813796951755998,4.43688949182805e-05,27.53
0.00010012,0.0,['20/08/1990'],0.00023152500000000003,0.002072097520502531,0.000100124125427848,26.46
0.00057729,0.0,['21/08/1990'],0.00027619378306878304,-0.020450610471290768,0.00057729345781623,28.9
9.8121e-05,0.0,['22/08/1990'],0.00030863177910052907,-0.01663546140021332,9.81207074011116e-05,30.55
0.00072152,0.0,['23/08/1990'],0.00043983495370370363,-0.03043803875938256,0.000721517858099806,36.47
0.00023379,0.0,['24/08/1990'],0.00038070267857142855,0.014388272210205149,0.00023379276890981,33.93
0.00079681,0.000660205988792583,['27/08/1990'],0.000290323048941799,0.031379460625666156,0.000136603436295654,29.63
4.7486e-05,0.0,['28/08/1990'],0.00028041481481481484,-0.0003111484514353321,4.74863661986957e-05,29.12
5.7627e-05,0.0,['29/08/1990'],0.00024790489417989415,0.008830011053354833,5.76268443136693e-05,27.38
0.00010802,0.0,['30/08/1990'],0.0002954405092592593,-0.017048165266539763,0.000108024918747557,29.89
